MSV Wrap Log — 336 files wrapped, 124 skipped
======================================================================

── WRAPPED ─────────────────────────────────────────────────────
WRAPPED: 404.html  |  title='404 | My Spanish Visa'
WRAPPED: MSV_JSON_LD_Schema_All_Pages.html  |  title='Msv Json Ld Schema All Pages | My Spanish Visa'
WRAPPED: about-us.html  |  title='About Us | My Spanish Visa'
WRAPPED: best-cities-for-nlv-spain.html  |  title='Best Cities for NLV Spain – Retire in Spain's Top Destinations'
WRAPPED: best-health-insurance-nlv-spain.html  |  title='Best Health Insurance Nlv Spain | My Spanish Visa'
WRAPPED: blog-americans-moving-to-spain-mistakes.html  |  title='Blog Americans Moving To Spain Mistakes | My Spanish Visa'
WRAPPED: blog-apostille-spain-visa-documents.html  |  title='Blog Apostille Spain Visa Documents | My Spanish Visa'
WRAPPED: blog-appeal-spain-visa-refusal-process.html  |  title='Blog Appeal Spain Visa Refusal Process | My Spanish Visa'
WRAPPED: blog-australians-spain-no-tax-treaty.html  |  title='Blog Australians Spain No Tax Treaty | My Spanish Visa'
WRAPPED: blog-beckham-law-digital-nomad-visa-spain.html  |  title='Blog Beckham Law Digital Nomad Visa Spain | My Spanish Visa'
WRAPPED: blog-beckham-law-spain-explained-who-qualifies.html  |  title='Blog Beckham Law Spain Explained Who Qualifies | My Spanish Visa'
WRAPPED: blog-best-cities-live-spain-expats.html  |  title='Blog Best Cities Live Spain Expats | My Spanish Visa'
WRAPPED: blog-best-cities-spain-digital-nomads-2026.html  |  title='Blog Best Cities Spain Digital Nomads 2026 | My Spanish Visa'
WRAPPED: blog-best-cities-spain-retirees-2026.html  |  title='Blog Best Cities Spain Retirees 2026 | My Spanish Visa'
WRAPPED: blog-best-health-insurance-digital-nomad-visa.html  |  title='Blog Best Health Insurance Digital Nomad Visa | My Spanish Visa'
WRAPPED: blog-best-language-schools-spain-visa.html  |  title='Blog Best Language Schools Spain Visa | My Spanish Visa'
WRAPPED: blog-best-places-live-spain-expat-2026.html  |  title='Blog Best Places Live Spain Expat 2026 | My Spanish Visa'
WRAPPED: blog-best-private-health-insurance-spain-expats-2026.html  |  title='Blog Best Private Health Insurance Spain Expats 2026 | My Spanish Visa'
WRAPPED: blog-best-spain-visa-families-2026.html  |  title='Blog Best Spain Visa Families 2026 | My Spanish Visa'
WRAPPED: blog-best-spain-visa-remote-workers-2026.html  |  title='Blog Best Spain Visa Remote Workers 2026 | My Spanish Visa'
WRAPPED: blog-best-spain-visa-retirees-2026.html  |  title='Blog Best Spain Visa Retirees 2026 | My Spanish Visa'
WRAPPED: blog-buying-property-spain-foreigner-visa-legal.html  |  title='Blog Buying Property Spain Foreigner Visa Legal | My Spanish Visa'
WRAPPED: blog-can-i-live-spain-permanently-foreigner.html  |  title='Blog Can I Live Spain Permanently Foreigner | My Spanish Visa'
WRAPPED: blog-can-i-move-to-spain-from-uk-after-brexit.html  |  title='Blog Can I Move To Spain From Uk After Brexit | My Spanish Visa'
WRAPPED: blog-can-i-rent-property-on-nlv.html  |  title='Blog Can I Rent Property On Nlv | My Spanish Visa'
WRAPPED: blog-can-you-work-on-non-lucrative-visa.html  |  title='Blog Can You Work On Non Lucrative Visa | My Spanish Visa'
WRAPPED: blog-can-you-work-remotely-non-lucrative-visa-spain.html  |  title='Blog Can You Work Remotely Non Lucrative Visa Spain | My Spanish Visa'
WRAPPED: blog-canadians-retiring-spain-taxes.html  |  title='Blog Canadians Retiring Spain Taxes | My Spanish Visa'
WRAPPED: blog-cita-previa-spain-how-to-book.html  |  title='Blog Cita Previa Spain How To Book | My Spanish Visa'
WRAPPED: blog-convert-student-visa-work-permit-spain.html  |  title='Blog Convert Student Visa Work Permit Spain | My Spanish Visa'
